name,name_en,flag_emoji,flag_image_url,contribution,casualties,current_relation
미국,United States,🇺🇸,/images/flags/us.png,"한국전쟁에 가장 많은 병력(약 180만 명)을 파견했으며, 전쟁 전 기간 동안 지상군, 해군, 공군이 모두 참전했습니다.","사망자 36,574명, 부상자 103,284명, 포로 및 실종자 8,177명","현재 한미동맹은 한반도와 동북아시아의 평화와 안보를 유지하는 핵심 축으로 기능하고 있습니다. 경제, 문화, 교육 등 다양한 분야에서 긴밀한 협력 관계를 유지하고 있습니다."
영국,United Kingdom,🇬🇧,/images/flags/uk.png,"한국전쟁에 약 14,000명의 병력을 파견했으며, 영연방 국가들과 함께 제1영연방사단의 일원으로 참전했습니다.","사망자 1,078명, 부상자 2,674명, 포로 및 실종자 179명","영국은 유럽에서 한국의 중요한 경제 및 문화 교류 파트너입니다. 양국은 수교 이후 다양한 분야에서 협력을 강화하고 있습니다."
터키,Turkey,🇹🇷,/images/flags/tr.png,"한국전쟁에 약 15,000명의 병력을 파견했으며, UN군 중 미국 다음으로 많은 병력을 참전시켰습니다.","사망자 721명, 부상자 2,111명, 포로 및 실종자 168명","터키와 한국은 '피로 맺어진 형제국'이라는 특별한 관계를 가지고 있습니다. 무역, 투자, 건설, 방위산업, 문화 등 다양한 분야에서 협력하고 있습니다."
호주,Australia,🇦🇺,/images/flags/au.png,"한국전쟁에 약 17,000명의 병력을 파견했으며, 영연방 국가들과 함께 제1영연방사단의 일원으로 참전했습니다.","사망자 339명, 부상자 1,216명, 포로 및 실종자 23명","호주는 한국전쟁 이후 한국과 다양한 분야에서 관계를 발전시켜 왔으며, 특히 교육과 관광 분야에서 활발한 교류가 이루어지고 있습니다."
캐나다,Canada,🇨🇦,/images/flags/ca.png,"한국전쟁에 약 26,000명의 병력을 파견했으며, 영연방 국가들과 함께 제1영연방사단의 일원으로 참전했습니다.","사망자 516명, 부상자 1,235명, 포로 및 실종자 32명","캐나다는 한국의 중요한 통상 파트너이며, 양국은 교육, 이민, 문화 등 다양한 분야에서 긴밀한 협력 관계를 유지하고 있습니다."
프랑스,France,🇫🇷,/images/flags/fr.png,"한국전쟁에 약 3,421명의 지상군을 파견했으며, 프랑스 대대는 특히 치열했던 고지쟁탈전에서 용맹함을 보였습니다.","사망자 262명, 부상자 1,008명, 포로 및 실종자 7명","프랑스는 한국의 중요한 유럽 파트너로, 경제, 과학기술, 문화, 예술, 교육 등 다양한 분야에서 협력하고 있습니다."
네덜란드,Netherlands,🇳🇱,/images/flags/nl.png,"한국전쟁에 약 3,972명의 병력을 파견했으며, 네덜란드 대대는 주로 UN군의 일원으로 활동했습니다.","사망자 120명, 부상자 645명, 포로 및 실종자 3명","네덜란드는 한국의 주요 유럽 교역 파트너 중 하나이며, 농업, 물류, 혁신 분야에서 활발한 협력이 이루어지고 있습니다."
필리핀,Philippines,🇵🇭,/images/flags/ph.png,"한국전쟁에 약 7,420명의 병력을 파견했으며, 필리핀 원정군은 아시아 국가 중 최초로 한국에 파병되었습니다.","사망자 112명, 부상자 299명, 포로 및 실종자 16명","필리핀과 한국은 경제, 노동, 문화 등 다양한 분야에서 긴밀한 관계를 유지하고 있으며, 많은 필리핀 근로자들이 한국에서 일하고 있습니다."
태국,Thailand,🇹🇭,/images/flags/th.png,"한국전쟁에 약 6,326명의 병력을 파견했으며, 태국 부대는 UN군의 일원으로 다양한 전투에 참가했습니다.","사망자 129명, 부상자 1,139명, 포로 및 실종자 5명","태국과 한국은 수교 이후 경제, 문화, 관광 분야에서 긴밀한 협력 관계를 발전시켜 왔으며, 양국 간 인적 교류도 활발합니다."
뉴질랜드,New Zealand,🇳🇿,/images/flags/nz.png,"한국전쟁에 약 3,794명의 병력을 파견했으며, 영연방 국가들과 함께 제1영연방사단의 일원으로 참전했습니다.","사망자 23명, 부상자 79명, 포로 및 실종자 1명","뉴질랜드와 한국은 무역, 농업, 교육, 관광 분야에서 협력하고 있으며, 자유무역협정(FTA)을 통해 경제 관계를 강화하고 있습니다."
그리스,Greece,🇬🇷,/images/flags/gr.png,"한국전쟁에 약 4,992명의 병력을 파견했으며, 그리스 부대는 특히 전략적으로 중요한 지역 방어에 기여했습니다.","사망자 192명, 부상자 543명, 포로 및 실종자 3명","그리스와 한국은 해운, 관광, 문화 분야에서 협력하고 있으며, 양국은 한국전쟁의 역사적 유대를 바탕으로 관계를 발전시켜 나가고 있습니다."
콜롬비아,Colombia,🇨🇴,/images/flags/co.png,"한국전쟁에 약 5,100명의 병력을 파견했으며, 콜롬비아는 라틴아메리카에서 유일하게 참전한 국가입니다.","사망자 140명, 부상자 452명, 포로 및 실종자 60명","콜롬비아와 한국은 무역, 투자, 인프라 개발, 문화 분야에서 협력하고 있으며, 한국전쟁 참전의 역사적 유대를 바탕으로 관계를 강화하고 있습니다."
